87.5,Sat,15,-73.979012,40.764387,-74.177237,40.690977,1,2583024051440558876
4,Tues,14,-74.002042,40.749302,-73.994982,40.75,4,1165858114798257652
5.5,Fri,17,-73.986712,40.761337,-73.982472,40.770271,3,385957458576580161
5,Sat,4,-73.98316,40.731557,-73.973822,40.743275,1,4991459257514321826
5.5,Thurs,12,-73.988785,40.748145,-73.985577,40.752717,1,3292910106525311428
38.83,Mon,14,-73.99496,40.740127,-73.865745,40.770985,1,6217126309092796042
14.3,Fri,16,-73.993479,40.75227,-73.949253,40.780119,1,3686700812190364415
30.5,Mon,23,-73.968368,40.76179,-73.818563,40.719227,1,3361779233023309177
36.83,Tues,15,-73.981254,40.769035,-73.872408,40.774406,2,2603937621546362141
21,Thurs,14,-73.991548,40.749851,-74.009588,40.706226,1,4453946510785002045
15.7,Sun,0,-74.006283,40.739637,-73.97403,40.761732,2,2522516458758514710
22,Sun,2,-73.99963,40.7284,-73.91979,40.74126,1,4422214315171297059
34.5,Mon,8,-73.969516,40.79798,-73.990089,40.661221,1,304638214647613343
4.5,Mon,14,-73.994855,40.750212,-73.995837,40.75985,1,5993707171007245717
5.5,Wed,21,-73.978024,40.725045,-73.989726,40.733894,1,5265940450811637257
4.5,Sat,12,-73.984937,40.763702,-73.974102,40.762832,1,352495937254222971
4.5,Wed,17,-73.997155,40.722052,-73.989828,40.7341,4,2187702332824386948
4.5,Sun,1,-73.984088,40.725535,-73.985873,40.722868,2,8462982715195436388
5.5,Sun,0,-73.971955,40.782012,-73.959325,40.77521,4,3426289359100181312
4.5,Sat,15,-73.9988,40.739813,-74.008272,40.731871,1,1537878998833422035
23.5,Fri,4,-74.01013,40.720485,-73.94849,40.801537,1,4074374647837575730
4,Sun,17,-73.957811,40.7796,-73.95709,40.785954,1,7919306858746475985
5.5,Sat,22,-73.989632,40.734327,-73.984018,40.72703,2,398898292735468204
26,Mon,19,-74.01593,40.714935,-73.957937,40.77713,2,3305468980266872127
17.5,Thurs,17,-74.014432,40.709867,-73.982482,40.746012,2,7083457581567764339
4.5,Wed,12,-74.004241,40.725588,-73.998544,40.734859,2,5093635560408886649
24.5,Wed,19,-74.007335,40.705382,-73.974902,40.765042,3,3578550877449758160
40.33,Sun,17,-73.873221,40.774048,-73.97437,40.753351,1,966646758675363456
4.5,Sun,10,-73.965855,40.754468,-73.955172,40.768975,1,1073186815781492932
4.5,Sat,13,-74.003535,40.748457,-73.995308,40.750037,6,7953258104779593788
4.5,Fri,18,-73.956042,40.767993,-73.966257,40.765485,1,8484246183869200843
38,Thurs,6,-73.917892,40.770182,-74.0141,40.713895,5,831938303018173928
23,Wed,22,-73.965732,40.762077,-74.016405,40.711167,1,4045546529036620514
16.1,Sun,0,-73.999227,40.734187,-73.983805,40.726032,1,265781797775470527
21.3,Sun,3,-74.005192,40.74129,-73.955197,40.662093,2,1714664827638490666
3.5,Sat,14,-73.951068,40.770431,-73.953887,40.766683,1,2396552019827103444
5.5,Thurs,20,-74.002555847167969,40.726417541503906,-73.992607116699219,40.726760864257812,5,1825680354034939769
6,Sat,1,-73.990647,40.746178,-73.979178,40.762295,2,793612531792453757
6,Sat,19,-74.00085,40.731892,-73.991287,40.734982,1,5385476941020526533
24.5,Mon,23,-73.979505,40.752702,-73.893417,40.768422,6,2866973905287425964
24.5,Thurs,23,-74.00275,40.749842,-73.888276,40.750157,1,8832524433299343388
4.5,Fri,14,-73.979099,40.791053,-73.984185,40.780128,1,768580804813787571
5.5,Mon,12,-73.979627,40.739736,-73.985214,40.72781,2,7145759566961225603
6,Sat,12,-73.961143,40.760774,-73.94671,40.776431,1,7243978242468749406
4.5,Thurs,8,-73.984698,40.759782,-73.980075,40.75314,1,8803485449594626214
5,Tues,10,-73.956485,40.780955,-73.961452,40.774497,1,8257596245910167043
24,Mon,1,-73.998942,40.744702,-73.908018,40.760602,1,8107474854275979779
20,Wed,17,-74.00591,40.712045,-73.99231,40.770672,1,1828286355915816621
20.9,Fri,0,-73.992972,40.73345,-73.890762,40.748097,1,4670701978457932440
16.9,Fri,10,-74.007243,40.705247,-73.983915,40.767097,1,4238173475675880101
3,Sun,21,-73.991165,40.72788,-73.990347,40.730572,1,1729799651274584114
4.5,Wed,7,-73.990462,40.737148,-74.000351,40.741472,1,4089474494906388243
4.5,Wed,10,-73.952792,40.778087,-73.957715,40.78251,1,7876634544792626014
4.5,Mon,17,-73.990838,40.734535,-73.988227,40.727748,2,968469488652562056
4.5,Wed,19,-73.9544,40.781111,-73.955754,40.772574,2,9021082650085658648
4.5,Sat,8,-73.963452,40.763485,-73.969215,40.763905,1,7735788203033524249
16.1,Sun,22,-73.980065,40.760746,-73.992162,40.69004,1,7642553640819339254
28.5,Mon,11,-73.871278,40.773928,-73.969248,40.752773,1,2675008791009760880
2.9,Sat,10,-73.986839,40.733766,-73.984431,40.735417,1,5129050968501603688
4.5,Mon,19,-73.955473,40.7795,-73.946718,40.772443,1,4922330203126485770
3,Fri,23,-73.998602,40.760537,-73.99891,40.760007,1,1274360425833142529
4.5,Sun,8,-73.954067,40.766763,-73.966935,40.772198,2,5875775577065572169
5,Tues,21,-73.995197,40.75568,-73.99779,40.745297,1,1324893683741520912
5,Tues,21,-73.954925,40.7652,-73.94521,40.773289,1,2885785312045458378
3.5,Mon,9,-73.96765,40.755996,-73.973469,40.751223,1,5966878933143249400
4.5,Sat,0,-73.98242,40.764083,-73.986162,40.755928,1,2517498195821632241
5.5,Tues,6,-73.884393,40.755738,-73.906886,40.753429,1,4959377757197729523
4.5,Tues,7,-73.954515,40.765852,-73.94779,40.771242,1,6369535737913958230
4.5,Sat,11,-73.947311,40.790843,-73.946219,40.781977,1,959002116892136640
5,Wed,5,-73.981018,40.744715,-73.982245,40.734338,1,2707513715319783130
4,Fri,18,-73.987052,40.743937,-73.99189,40.737875,1,6262525538290750333
6,Fri,10,-73.985557556152344,40.753231048583984,-73.973983764648438,40.748069763183594,1,150159707170073328
4.5,Thurs,22,-73.997517,40.721306,-73.999498,40.718582,2,585901507292208049
32.83,Mon,19,-73.986006,40.726531,-73.871052,40.773793,1,448513254123763632
